County,Sub-county,Ward,Latitude,Longitude
Isiolo,Isiolo North,WABERA,0.363,37.59
Migori,Rongo,North Kamagambo,-0.69,34.608
Migori,Rongo,Central Kamagambo,-0.762,34.603
Migori,Rongo,South Kamagambo,-0.888,34.611
Migori,Awendo,North Sakwa,-0.803,34.534
Migori,Awendo,South Sakwa,-0.931,34.573
Migori,Awendo,West Sakwa,-0.841,34.505
Migori,Awendo,Central Sakwa,-0.861,34.531
Migori,Suna East,God Jope,-1.06,34.527
Migori,Suna East,Suna Central,-1.076,34.507
Migori,Suna East,Kakrao,-1.027,34.421
Migori,Suna East,Kwa,-1.106,34.591
Migori,Suna West,Wiga,-1.053,34.328
Migori,Suna West,Waseweta Ii,-1.092,34.414
Migori,Suna West,Ragana-oruba,-1.091,34.471
Migori,Suna West,Wasimbete,-1.133,34.331
Migori,Uriri,West Kanyamkago,-0.945,34.405
Migori,Uriri,North  Kanyamkago,-0.869,34.417
Migori,Uriri,Central Kanyamkago,-0.942,34.445
Migori,Uriri,South Kanyamkago,-0.979,34.508
Migori,Uriri,East Kanyamkago,-1.026,34.572
Migori,Nyatike,Kachieng',-0.81,34.14
Migori,Kuria West,Masaba,-1.148,34.54
Migori,Kuria East,Ntimaru West,-1.348,34.685
Machakos,Mavoko,Mathatani,-1.372,37.083
Machakos,Mavoko,Syokimau-mulolongo,-1.365,36.937
Machakos,Machakos Town,Kalama,-1.654,37.211
Machakos,Machakos Town,Mua,-1.494,37.199
Machakos,Machakos Town,Mutituni,-1.421,37.251
Machakos,Machakos Town,Township,-1.51,37.278
Machakos,Machakos Town,Mumbuni North,-1.488,37.26
Machakos,Machakos Town,Muvuti-kiima-kimwe,-1.537,37.295
Machakos,Machakos Town,Kola,-1.689,37.302
Machakos,Mwala,Mbiuni,-1.234,37.427
Machakos,Mwala,Makutano-mwala,-1.345,37.481
Machakos,Mwala,Masii,-1.454,37.443
Machakos,Mwala,Muthetheni,-1.499,37.538
Machakos,Mwala,Wamunyu,-1.419,37.586
Machakos,Mwala,Kibauni,-1.551,37.679
Homa Bay,Kasipul,West Kasipul,-0.542,34.678
Homa Bay,Kasipul,South Kasipul,-0.515,34.709
Homa Bay,Kasipul,Central Kasipul,-0.455,34.705
Homa Bay,Kasipul,East Kamagak,-0.479,34.768
Homa Bay,Kasipul,West Kamagak,-0.507,34.742
Homa Bay,Kabondo Kasipul,Kabondo East,-0.425,34.954
Homa Bay,Kabondo Kasipul,Kabondo West,-0.429,34.87
Homa Bay,Kabondo Kasipul,Kokwanyo/kakelo,-0.46,34.801
Homa Bay,Kabondo Kasipul,Kojwach,-0.486,34.843
Homa Bay,Karachuonyo,West Karachuonyo,-0.402,34.488
Homa Bay,Karachuonyo,North Karachuonyo,-0.374,34.545
Homa Bay,Karachuonyo,Central,-0.388,34.622
Homa Bay,Karachuonyo,Kanyaluo,-0.449,34.629
Homa Bay,Rangwe,Kagan,-0.524,34.603
Homa Bay,Rangwe,Kochia,-0.518,34.544
Homa Bay,Homa Bay,Homa Bay Central,-0.591,34.485
